t,x,y,z,d_min
87.828,9.045863787608088,8.991188353834634,4.952358253098044,7.8725
87.84,9.046022528009882,8.991040143810535,4.952233272234474,7.8724
87.86,9.046120099955981,8.990951700607456,4.952161031945996,7.8724
87.872,9.046285850993756,8.99080594982201,4.952045008701667,7.8722
87.892,9.046386875833269,8.990719841691678,4.951977928553823,7.8722
87.904,9.046556652934607,8.990577223045578,4.951870108315111,7.8721
87.924,9.04669397083305,8.990463396815747,4.951787195233884,7.8720
87.94,9.046866139763637,8.990321783261688,4.951687440711333,7.8719
87.96,9.046969728308627,8.990238159122852,4.951629514069752,7.8718
87.972,9.047143430782802,8.990099694440483,4.951535848452292,7.8718
87.988,9.047248709702787,8.990016671635306,4.951481207067975,7.8717
88.004,9.047425184487478,8.989877297025021,4.951392481577967,7.8716
88.02,9.047531245458034,8.989792749498312,4.9513405610769965,7.8716
88.036,9.04770573605043,8.989648874339341,4.951256135285292,7.8715
88.056,9.047843126771786,8.989531942836289,4.951190355716816,7.8714
88.072,9.048014216000825,8.989383647878567,4.951110306534867,7.8713
88.092,9.04811627813327,8.9892928332482,4.9510634526281905,7.8712
88.104,9.04828312790303,8.989137795916383,4.950987339079748,7.8711
88.12,9.048380248405897,8.989042608240378,4.950942892073122,7.8711
88.136,9.048536439945059,8.98887877530103,4.950870950090549,7.8710
88.152,9.048626299065512,8.988777500021726,4.9508291143581165,7.8709
88.168,9.048769691116927,8.988605477307063,4.950761819123801,7.8708
88.192,9.04887861357082,8.988464524643488,4.950710336363874,7.8707
88.204,9.049009171516687,8.988285580694365,4.950649205106,7.8705
88.224,9.04908418928668,8.988176263762663,4.950614370893747,7.8705
88.236,9.049199526386502,8.987989080282404,4.950559749633639,7.8703
88.252,9.049262190229669,8.98787386091711,4.950529138521428,7.8702
88.268,9.049356739166347,8.987677389665274,4.950481952472519,7.8701
88.284,9.049408103826057,8.987556866488465,4.950456077676697,7.8700
88.3,9.049483706573492,8.987350038974409,4.950417244705939,7.8698
88.324,9.0495345381131,8.987179547911943,4.950390168630814,7.8697
88.336,9.049588343496655,8.986961332369674,4.950361569884071,7.8695
88.352,9.049615059985541,8.986827022027438,4.9503473055925875,7.8694
88.368,9.049647431091127,8.986596976885647,4.950328634629587,7.8692
88.388,9.049659265212576,8.986455188016587,4.9503205721046415,7.8691
88.4,9.049664861836815,8.986211635338442,4.950312596338532,7.8689
88.42,9.049660941417557,8.986061112213301,4.950311252908268,7.8687
88.432,9.049642720422158,8.985801822577354,4.950315093480322,7.8685
88.452,9.049616453198432,8.985587319417762,4.950323747911834,7.8683
88.468,9.049568831491312,8.985309438335197,4.950341433979354,7.8681
88.484,9.04953178529331,8.985137567573283,4.950355671405663,7.8679
88.5,9.04945777360698,8.98484381099267,4.950385345141321,7.8676
88.516,9.049406646938149,8.984664267207297,4.950406636805763,7.8675
88.532,9.049309253094817,8.984358807085089,4.950447857137091,7.8672
88.548,9.049242766214475,8.98417133936671,4.950476019325584,7.8670
88.564,9.049117981227687,8.983852714441129,4.950528641744851,7.8667
88.588,9.049005192857871,8.983592572376152,4.950575834805514,7.8665
88.6,9.048847603906411,8.983260820390607,4.950641064468593,7.8662
88.616,9.04874445208723,8.983058411071688,4.9506834397055375,7.8660
88.632,9.048560876996437,8.982715345233984,4.9507594649471365,7.8656
88.652,9.048444803314068,8.982505670862523,4.950808322345959,7.8654
88.664,9.048238723550545,8.982151310434642,4.95089530100939,7.8651
88.68,9.048106306230176,8.981935908304829,4.950950817921514,7.8649
88.696,9.047872628141215,8.981572074479761,4.951048801872533,7.8645
88.72,9.047675520274906,8.981278164570615,4.951131946349401,7.8642
88.732,9.047413948904273,8.980907227650448,4.951241748160574,7.8639
88.748,9.047249041428074,8.980682576231171,4.9513107122025035,7.8636
88.764,9.046963307127811,8.980305234199006,4.95143084804201,7.8633
88.78,9.046785312052032,8.980077349824859,4.951506055524787,7.8630
88.796,9.046479492838753,8.97969688821291,4.951636581780156,7.8627
88.816,9.046290497401934,8.979467751211235,4.951718006695459,7.8624
88.828,9.045965028057221,8.979085406064733,4.951859023827501,7.8620
88.848,9.04569476894606,8.978778904494279,4.951976779764195,7.8617
88.864,9.045347256695669,8.978397406833425,4.952130542211668,7.8613
88.884,9.045135602312502,8.978170249515623,4.952226432542037,7.8611
88.896,9.044776484170676,8.977793416748732,4.952392467257759,7.8607
88.916,9.044556348681889,8.977568465118495,4.952495896315161,7.8605
88.928,9.044183457561553,8.977195485874018,4.952674763373026,7.8601
88.948,9.043957055153795,8.976973352261567,4.952786015268037,7.8599
88.96,9.043575045922015,8.976606957673551,4.952978090024293,7.8595
88.98,9.043265767166803,8.976318692588078,4.953137922312699,7.8592
88.996,9.042877737214987,8.975966423171135,4.95334586501379,7.8588
89.012,9.042643204127568,8.975758891248272,4.953475058413736,7.8586
89.028,9.042248272376142,8.975420865866838,4.953697817385977,7.8583
89.044,9.042009853850853,8.975222872301789,4.95383598759096,7.8581
89.06,9.041611825628221,8.974901651180472,4.95407384988515,7.8577
89.08,9.04137238375266,8.974714906200301,4.954221114299257,7.8575
89.092,9.040971482177786,8.974415092207009,4.954474086708094,7.8572
89.112,9.040650203964333,8.97418439127035,4.954683143236336,7.8570
89.128,9.040247833083301,8.973907782275937,4.954952415642143,7.8567
89.144,9.040006043230072,8.973748780822463,4.95511794352805,7.8566
89.16,9.039604135436694,8.973496044888558,4.955399902355858,7.8563
89.172,9.039363353112593,8.973351750407966,4.955572484338905,7.8562
